Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Status
ALX | Surveillance | Search,CCTV Installation,cctv installation sydney,Exact,9.00,Enabled
ALX | Surveillance | Search,CCTV Installation,cctv installation sydney,Phrase,9.00,Enabled
ALX | Surveillance | Search,CCTV Installation,commercial cctv sydney,Phrase,9.00,Enabled
ALX | Surveillance | Search,CCTV Installation,business cctv installation,Phrase,9.00,Enabled
ALX | Surveillance | Search,CCTV Installation,security camera installation sydney,Phrase,9.00,Enabled
ALX | Surveillance | Search,CCTV Installation,cctv installer sydney,Phrase,9.00,Enabled
ALX | Surveillance | Search,CCTV Installation,security cameras for business sydney,Phrase,9.00,Enabled
ALX | Surveillance | Search,AI Surveillance,ai security cameras,Phrase,9.00,Enabled
ALX | Surveillance | Search,AI Surveillance,ai surveillance australia,Phrase,9.00,Enabled
ALX | Surveillance | Search,AI Surveillance,retail security cameras,Phrase,9.00,Enabled
ALX | Surveillance | Search,AI Surveillance,warehouse security cameras,Phrase,9.00,Enabled
ALX | Surveillance | Search,AI Surveillance,multi site cctv,Phrase,9.00,Enabled
ALX | Surveillance | Search,AI Surveillance,loss prevention cameras,Phrase,9.00,Enabled
ALX | Surveillance | Search,AI Surveillance,verkada installer,Phrase,9.00,Enabled
ALX | Surveillance | Search,AI Surveillance,genetec integrator sydney,Phrase,9.00,Enabled
ALX | Displacement | Search,Change IT Provider,change it provider,Exact,7.00,Enabled
ALX | Displacement | Search,Change IT Provider,change it provider,Phrase,7.00,Enabled
ALX | Displacement | Search,Change IT Provider,switching it support company,Phrase,7.00,Enabled
ALX | Displacement | Search,Change IT Provider,it provider not responding,Phrase,7.00,Enabled
ALX | Displacement | Search,Change IT Provider,unhappy with it support,Phrase,7.00,Enabled
ALX | Displacement | Search,Change IT Provider,it support contract review,Phrase,7.00,Enabled
ALX | Displacement | Search,Change IT Provider,second opinion it security,Phrase,7.00,Enabled
ALX | Displacement | Search,Change IT Provider,it provider comparison sydney,Phrase,7.00,Enabled
ALX | Displacement | Search,Change IT Provider,new it support provider,Phrase,7.00,Enabled
ALX | Managed IT | Search,Managed IT Support,managed it services sydney,Exact,12.00,Enabled
ALX | Managed IT | Search,Managed IT Support,managed it services sydney,Phrase,12.00,Enabled
ALX | Managed IT | Search,Managed IT Support,it support sydney,Exact,12.00,Enabled
ALX | Managed IT | Search,Managed IT Support,it support sydney,Phrase,12.00,Enabled
ALX | Managed IT | Search,Managed IT Support,outsourced it support sydney,Phrase,12.00,Enabled
ALX | Managed IT | Search,Managed IT Support,managed service provider sydney,Phrase,12.00,Enabled
ALX | Managed IT | Search,Managed IT Support,business it support sydney,Phrase,12.00,Enabled
ALX | Managed IT | Search,Cyber Security,cyber security services sydney,Phrase,12.00,Enabled
ALX | Managed IT | Search,Cyber Security,cyber security for small business,Phrase,12.00,Enabled
ALX | Managed IT | Search,Cyber Security,business cyber security australia,Phrase,12.00,Enabled
ALX | Managed IT | Search,Cyber Security,it security audit sydney,Phrase,12.00,Enabled
ALX | Managed IT | Search,Cyber Security,phishing protection business,Phrase,12.00,Enabled
ALX | Managed IT | Search,Cyber Security,endpoint protection business,Phrase,12.00,Enabled
ALX | Managed IT | Search,Essential Eight,essential eight compliance,Phrase,10.00,Enabled
ALX | Managed IT | Search,Essential Eight,acsc essential eight,Phrase,10.00,Enabled
ALX | Managed IT | Search,Essential Eight,essential eight assessment,Phrase,10.00,Enabled
ALX | Managed IT | Search,Essential Eight,essential 8 consultant,Phrase,10.00,Enabled
ALX | Managed IT | Search,Essential Eight,cis level 1 compliance,Phrase,10.00,Enabled
